Chip Run Filename,D:\RT-PCR\Blood\ChipRun.bml,,,,,,,,,,,,,,,,,,,
Application Version,1.4.2,,,,,,,,,,,,,,,,,,,
Application Build,20070522.1,,,,,,,,,,,,,,,,,,,
Export Type,Table Results,,,,,,,,,,,,,,,,,,,
Quality Threshold,0.65,,,,,,,,,,,,,,,,,,,
Baseline Correction Method,Linear,,,,,,,,,,,,,,,,,,,
Ct Threshold Method,Auto (Detectors),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,Sample,FAM-MGB,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Delta Ct Sample,Delta Ct Sample,Delta Ct Sample,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct
ID,Name,Type,rConc,Reference,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call,Value,Quality,Call,Value,Quality,Call
S03-A42,434_1,Reference,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S03-A43,434_1,Reference,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S03-A44,434_1,Reference,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S03-A45,434_1,Reference,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S03-A46,434_1,Reference,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S03-A47,434_1,Reference,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S03-A48,434_1,Reference,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S47-A01,,NTC,1,,MX1,Test,B-actin,26.99785836,0.95,Pass,0.053812245,999,0,Fail,-2.356964396,0.826666667,Pass,999,0,Fail
S47-A02,,NTC,1,,IRF7,Test,B-actin,999,0,Fail,0.036827459,999,0,Fail,999,0,Fail,999,0,Fail
S47-A03,,NTC,1,,G1P3,Test,B-actin,999,0,Fail,0.019982874,999,0,Fail,999,0,Fail,999,0,Fail
S47-A04,,NTC,1,,OASL,Test,B-actin,27.22816346,0.95,Pass,0.065237931,999,0,Fail,-2.126659289,0.826666667,Pass,999,0,Fail
S47-A05,,NTC,1,,IFIT4,Test,B-actin,30.04722168,0.68,Pass,0.019915253,999,0,Fail,0.692398925,0.68,Pass,999,0,Fail
S47-A06,,NTC,1,,INFA5,Test,B-actin,999,0,Fail,0.072222612,999,0,Fail,999,0,Fail,999,0,Fail
S47-A07,,NTC,1,,TNF ALPHA,Test,B-actin,999,0,Fail,0.035619194,999,0,Fail,999,0,Fail,999,0,Fail
S47-A08,,NTC,1,,PI3,Test,B-actin,999,0,Fail,0.033657989,999,0,Fail,999,0,Fail,999,0,Fail
S47-A09,,NTC,1,,IL-10,Test,B-actin,999,0,Fail,0.052633033,999,0,Fail,999,0,Fail,999,0,Fail
S47-A10,,NTC,1,,IFIT1,Test,B-actin,30.81833676,0.87,Pass,0.061441596,999,0,Fail,1.463514007,0.826666667,Pass,999,0,Fail
S47-A11,,NTC,1,,G1P2/ISG15,Test,B-actin,34.86443456,0.62,Fail,0.01597179,999,0,Fail,5.509611808,0.62,Fail,999,0,Fail
S47-A12,,NTC,1,,IFI44,Test,B-actin,999,0,Fail,0.057802747,999,0,Fail,999,0,Fail,999,0,Fail
S47-A13,,NTC,1,,PRKR,Test,B-actin,999,0,Fail,0.042447337,999,0,Fail,999,0,Fail,999,0,Fail
S47-A14,,NTC,1,,INFB1,Test,B-actin,999,0,Fail,0.045050435,999,0,Fail,999,0,Fail,999,0,Fail
S47-A15,,NTC,1,,CCL-24,Test,B-actin,999,0,Fail,0.04242992,999,0,Fail,999,0,Fail,999,0,Fail
S47-A16,,NTC,1,,IL-6,Test,B-actin,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S47-A17,,NTC,1,,PBEF,Test,B-actin,29.78175091,0.96,Pass,0.065920425,999,0,Fail,0.426928163,0.826666667,Pass,999,0,Fail
S47-A18,,NTC,1,,DDX58/RIG-1,Test,B-actin,999,0,Fail,0.082450283,999,0,Fail,999,0,Fail,999,0,Fail
S47-A19,,NTC,1,,OAS3,Test,B-actin,999,0,Fail,0.059583791,999,0,Fail,999,0,Fail,999,0,Fail
S47-A20,,NTC,1,,LY6E,Test,B-actin,999,0,Fail,0.033133264,999,0,Fail,999,0,Fail,999,0,Fail
S47-A21,,NTC,1,,APOBEC3B,Test,B-actin,999,0,Fail,0.049384689,999,0,Fail,999,0,Fail,999,0,Fail
S47-A22,,NTC,1,,IL1A,Test,B-actin,999,0,Fail,0.019695109,999,0,Fail,999,0,Fail,999,0,Fail
S47-A23,,NTC,1,,IL1B,Test,B-actin,27.15335683,0.98,Pass,0.092491138,999,0,Fail,-2.201465924,0.826666667,Pass,999,0,Fail
S47-A24,,NTC,1,,IRF5,Test,B-actin,999,0,Fail,0.068747972,999,0,Fail,999,0,Fail,999,0,Fail
S47-A25,,NTC,1,,NK4(IL-32),Test,B-actin,999,0,Fail,0.035987112,999,0,Fail,999,0,Fail,999,0,Fail
S47-A26,,NTC,1,,CCL20,Test,B-actin,999,0,Fail,0.066028727,999,0,Fail,999,0,Fail,999,0,Fail
S47-A27,,NTC,1,,CCL22,Test,B-actin,999,0,Fail,0.062759131,999,0,Fail,999,0,Fail,999,0,Fail
S47-A28,,NTC,1,,CCL2,Test,B-actin,999,0,Fail,0.041469833,999,0,Fail,999,0,Fail,999,0,Fail
S47-A29,,NTC,1,,LPL,Test,B-actin,999,0,Fail,0.081767941,999,0,Fail,999,0,Fail,999,0,Fail
S47-A30,,NTC,1,,OPN(SPP1),Test,B-actin,999,0,Fail,0.08927187,999,0,Fail,999,0,Fail,999,0,Fail
S47-A31,,NTC,1,,B-actin,Reference,,29.27862306,0.85,Pass,0.031186689,999,0,Fail,999,0,Fail,999,0,Fail
S47-A32,,NTC,1,,GAPDH,Test,B-actin,26.8959598,0.92,Pass,0.078078015,999,0,Fail,-2.458862947,0.826666667,Pass,999,0,Fail
S47-A33,,NTC,1,,18S,Test,B-actin,999,0,Fail,0.052145133,999,0,Fail,999,0,Fail,999,0,Fail
S47-A34,,NTC,1,,,NRC,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S47-A35,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S47-A36,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S47-A37,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S47-A38,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S47-A39,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S47-A40,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S47-A41,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S47-A42,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S47-A43,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S47-A44,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S47-A45,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S47-A46,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S47-A47,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S47-A48,,NTC,1,,,Test,,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S02-A01,434_1,Reference,1,,MX1,Test,B-actin,15.28755124,0.92,Pass,0.053812245,999,0,Fail,3.972255837,0.775,Pass,999,0,Fail
S02-A02,434_1,Reference,1,,IRF7,Test,B-actin,15.27108527,0.88,Pass,0.036827459,999,0,Fail,3.955789866,0.775,Pass,999,0,Fail
S02-A03,434_1,Reference,1,,G1P3,Test,B-actin,16.22764094,0.77,Pass,0.019982874,999,0,Fail,4.912345532,0.77,Pass,999,0,Fail
S02-A04,434_1,Reference,1,,OASL,Test,B-actin,14.92165243,0.95,Pass,0.065237931,999,0,Fail,3.606357029,0.775,Pass,999,0,Fail
S02-A05,434_1,Reference,1,,IFIT4,Test,B-actin,19.64517621,0.7,Pass,0.019915253,999,0,Fail,8.329880808,0.7,Pass,999,0,Fail
S02-A06,434_1,Reference,1,,INFA5,Test,B-actin,27.67096732,0.95,Pass,0.072222612,999,0,Fail,16.35567192,0.775,Pass,999,0,Fail
S02-A07,434_1,Reference,1,,TNF ALPHA,Test,B-actin,16.8564514,0.8,Pass,0.035619194,999,0,Fail,5.541155997,0.775,Pass,999,0,Fail
S02-A08,434_1,Reference,1,,PI3,Test,B-actin,15.39641434,0.81,Pass,0.033657989,999,0,Fail,4.081118932,0.775,Pass,999,0,Fail
S02-A09,434_1,Reference,1,,IL-10,Test,B-actin,19.23333107,0.91,Pass,0.052633033,999,0,Fail,7.918035666,0.775,Pass,999,0,Fail
S02-A10,434_1,Reference,1,,IFIT1,Test,B-actin,18.16583581,0.95,Pass,0.061441596,999,0,Fail,6.850540401,0.775,Pass,999,0,Fail
